,biz,grade,inspections_in_2012,inspections_in_2013,phone_num,violations_in_2012,violations_in_2013,violations_per_inspection
1685,ARTH ALGANTIN RESTAURANT,B,2,4,7189189191,5,11,2
1686,FRIENDS II SPORTS BAR,B,3,2,3478515788,11,5,2
1687,CROWN FRIED CHICKEN,A,2,2,7182220154,4,4,2
1688,718 LOUNGE,A,1,3,7183211233,2,10,3
1689,EL RINCON,B,0,0,2125433587,0,0,0
1690,MOLECULE WATER STORE,A,2,2,6463719025,3,4,2
1691,CROWN FRIED CHICKEN,A,2,1,7189317875,5,3,3
1692,SUBWAY / TWIN DONUT,B,3,4,7186481227,8,13,3
1693,GREENWICH TREEHOUSE,A,1,3,2126750395,3,10,3
1694,RALPH'S FAMOUS ITALIAN ICES,A,2,3,7183568133,4,5,1
1696,RAY'S PIZZA,B,2,1,2123587980,7,2,2
1697,BRIDGE PUB,A,1,1,2124656370,1,1,1
1698,UNA NUEVA ESPERANZA/ HERBALIFE,A,1,1,6464361449,1,1,1
1699,PISA PIZZA & BAGELS,P,3,10,2122499600,17,43,4
1700,VAN DAM DINER,C,4,6,7183921686,12,32,5
1701,TASTE OF CHINA,B,0,2,7182563085,0,6,3
1702,EMERGENCY SNACK BAR,C,5,5,3472705445,13,15,3
1703,NEW HOME SING RESTAURANT,C,0,6,2129261177,0,22,3
1705,GREEK EXPRESS,A,1,1,7186014976,4,2,2
1706,CRUMBS,A,1,1,2123444600,1,2,2
1707,NEW DONG HAI RESTAURANT,P,4,2,7184353226,20,10,5
1708,MIDTOWN BUFFET,C,4,5,2127684422,28,28,5
1709,VITTORIA SEAFOOD & GRILL,A,0,0,7186463800,0,0,0
1710,CAFE CON LECHE,C,6,2,2125957000,26,6,3
1711,YOSHI NEW YORK,C,0,4,2124205909,0,17,4
1712,HOTEL PIERRE-MAIN KITCHEN,B,1,4,2128388000,2,15,3
1713,NEW NICE CHINATOWN,A,0,1,7188597357,0,4,4
1716,THE BUTTERFLY LOUNGE,A,1,3,7185522129,3,6,2
1717,JACKIE'S WEST INDIAN BAKERY,C,2,5,7189942541,12,19,3
1718,LITTLE COLLINS,B,1,3,2123081969,1,13,4
1719,FU KE LAI CUISINE,P,6,8,7182368883,28,37,4
1720,EGYPTIAN COFFEE SHOP,C,2,1,9178378726,4,2,2
1721,ALOR CAFE,B,1,4,7183511101,3,16,4
1722,CITY LINE PIZZERIA & RESTAURANT I,C,3,5,7182774992,9,17,3
1723,bella pizza,A,0,1,7188994103,0,1,1
1724,Los Tacos # 1,A,0,3,2122560343,0,9,3
1725,PIONEER RESTAURANT,A,3,2,7188848885,9,6,3
1726,KEW GARDEN CHINESE RESTAURANT,P,1,2,7182613322,3,5,2
1727,JAIYA THAI & ORIENTAL RESTAURANT,A,4,0,2127178877,12,0,0
1728,HERMES BILLIARDS & CAFE,A,3,1,7184418340,5,2,2
1729,PUSHCART COFFEE,A,0,4,6463987415,0,12,3
1730,DUNKIN DONUTS,A,0,1,7189377077,0,1,1
1731,HOME SOUP,B,5,2,7188889051,23,8,4
1732,BROADWAY DELI & BAGEL'S,A,1,1,2125640503,2,3,3
1733,TEAL,C,6,3,7187218325,19,7,2
1735,"DUNKIN' DONUTS, BASKIN ROBBINS",A,1,2,7187941973,2,6,3
1736,EUROPA CAFE,A,4,4,2127255425,15,13,3
1737,IL VIOLINO,C,1,3,2128732500,2,9,3
1738,DUNKIN' DONUTS,A,1,1,7186800019,1,3,3
1739,DUNKIN  DONUTS,A,1,1,2122264662,1,2,2
1740,BLISS BAKERY,P,4,4,7189982028,23,18,4
1741,BOBWHITE COUNTER.,A,1,1,2122282972,2,2,2
1742,12 CHAIRS,B,1,1,2122458640,1,3,3
1743,NOT GUILTY DELICATESSEN,C,0,5,7184485143,0,23,4
1744,DONA ZITA,B,2,1,3475899396,6,1,1
1745,FIVE STAR DINER BANQUET AND RESTAURANT,C,4,4,7187847444,12,10,2
1747,YOGURT CITY,A,1,1,7186800118,1,2,2
1749,KEY CLUB,C,8,6,7182316900,24,30,5
1750,BABY'S ALL RIGHT,A,0,1,7185995800,0,2,2
1751,STILLWELL DELI,A,0,2,3476210599,0,7,3
1752,HUMMUS KITCHEN,C,3,4,2123333009,4,14,3
1753,FB1014 HOT DOG CONCESSION,A,0,2,2124656000,0,2,1
1754,STARBUCKS COFFEE,A,3,1,2122217515,7,2,2
1755,FRIEDMAN'S LUNCH,C,3,1,2129297100,12,4,4
1756,HO MEI CHINESE RESTAURANT,B,0,1,7184436087,0,2,2
1757,WOOLWORTH TOWER KITCHEN,C,3,1,2125712930,11,6,6
1758,ENTWINE,A,2,1,2127278765,5,2,2
1759,BOBBY VAN'S GRILL,C,2,4,7185532100,4,15,3
1760,PHO MAC VIETNAMESE CUISINE,B,2,1,7189829292,5,3,3
1761,PYRAMIDA BILLIARDS,C,5,3,7187871777,10,10,3
1762,YUKO NYC,C,3,4,2129885800,14,10,2
1763,MI CASA SU CASA P.T.A,B,0,4,3472815750,0,16,4
1764,THE EDGE BAR,B,1,2,2124772940,1,7,3
1765,GOLDEN CHICKEN,C,1,1,7182064669,2,2,2
1766,NEW MANDARIN COURT,P,1,3,2126083838,8,12,4
1767,P.S BURGERS,A,3,2,6469984685,7,7,3
1768,MUNCHINETTE,A,1,1,7183325463,1,1,1
1769,HOME GARDEN CHINESE RESTAURANT,B,0,4,2122835588,0,13,3
1770,THE MERMAID INN,C,4,3,2127997400,14,7,2
1771,TOMMY'S PIZZA,A,2,1,7188292828,11,3,3
1772,FOO-HING KITCHEN,C,0,3,7188846267,0,12,4
1773,DUNKIN' DONUTS,A,0,1,7183684231,0,3,3
1774,DAKOTA ROADHOUSE,A,1,3,2129629800,2,8,2
1775,INCA ROTISSERIE CHICKEN,C,2,4,7183663763,9,17,4
1776,LITTLE ITALY PIZZA,B,4,0,2125947817,9,0,0
1777,SUITE 55,B,7,1,2129571899,17,3,3
1778,JAMBA JUICE,B,3,2,2127526786,6,8,4
1779,1617-A NATIONAL BAKERY,B,4,4,7188930660,14,9,2
1780,QUANTUM LEAP,B,4,1,2126778050,17,3,3
1781,OREN'S DAILY ROAST,A,0,1,6462912091,0,2,2
1782,THE ELM,A,3,1,7182187500,9,3,3
1783,MANDARIN HOUSE I,P,5,5,7186522770,17,14,2
1784,FAMOUS FAMIGLIA,B,3,2,2125644144,5,6,3
1785,VIVIAN BEAUMONT THEATER,A,1,2,2125013127,4,4,2
1786,DALLAS BBQ,A,2,1,7182202822,6,4,4
1787,STARBUCKS COFFEE,A,1,1,2122456479,1,1,1
1788,LOT 2,C,4,1,7184995623,17,2,2
1789,THE JUNCTION,B,4,1,2126827700,18,2,2
1790,OASIS CAFE,B,1,3,3476735080,2,8,2
1791,STAND # 326,A,1,1,7182663164,1,1,1
1792,LOURO,C,4,4,2122060606,17,12,3
1793,NATIONAL RESTAURANT & COFFEE SHOP,C,4,1,7183655515,16,3,3
1794,CHIPOTLE MEXICAN GRILL,B,1,1,6466266520,1,3,3
1795,BROADWAY CHINA STATION,A,3,1,7185458888,7,3,3
1796,ARBOR BISTRO,C,5,3,2122557888,23,16,5
1797,RODEO GRILL,C,1,4,2126836500,2,12,3
1798,MERRION SQUARE,C,4,3,2128317696,14,13,4
1799,YAMATO,P,4,4,7188400099,11,15,3
1800,C2 CAFE CORP,A,0,2,7183332288,0,7,3
1801,GOOD SHEPHERD CHISHOLM RESIDENCE,C,0,5,3479152210,0,17,3
1802,CLOVER'S,A,1,1,7186252121,1,2,2
1803,GREAT CHINA,B,1,1,7185652099,1,3,3
1804,OMAR'S KITCHEN & BAKERY,C,0,1,2122078302,0,2,2
1805,ORIENTAL GARDEN RESTAURANT,C,2,4,2126190085,7,13,3
1806,DEE'S RESTAURANT,A,1,3,7187937553,2,9,3
1807,JOHNNY FOXES,B,3,2,2124729193,9,7,3
1808,ESSENCE BAR & RESTAURANT,C,4,3,7184673300,15,13,4
1809,SHARA CITI RESTAURANT INC,A,1,1,7187260055,2,3,3
1810,LAYALI DUBAI,P,7,4,7187281492,14,11,2
1811,THE DUCK,C,3,2,2128313464,6,9,4
1812,CAPRI IV DELI,C,4,4,7183203979,7,18,4
1813,CROWN FRIED CHICKEN,B,0,2,9172160949,0,8,4
1814,BOOTLEG MANNINGS,P,2,2,7189814988,7,9,4
1815,SUBWAY,A,1,1,2122290490,1,2,2
1816,LC YOGURT,B,2,1,2129410912,3,2,2
1817,SING HUA KITCHEN,P,0,2,7183389577,0,6,3
1818,TERRA,A,0,1,2126250900,0,5,5
1819,JIN JIN HONG KONG CAFE,B,6,4,7182326222,26,18,4
1820,ROOM SERVICE,C,6,3,2125820999,26,8,2
1821,SULLIVAN BISTRO,B,4,4,2122286091,10,13,3
1822,STARBUCKS COFFEE,A,1,1,2125862142,1,1,1
1823,MIXX CANTINA,A,0,4,7183218698,0,8,2
1825,NEW KIM'S RESTAURANT,P,0,4,7183184881,0,19,4
1826,ANTONIO'S RESTAURANT,B,2,4,7189923367,10,8,2
1827,OLD SCHOOL BROOKLYN,A,1,1,7184070047,2,3,3
1828,FUTIGI,B,4,3,7183808878,10,7,2
1829,NINTH STREET ESPRESSO,A,1,2,2127773508,3,9,4
1830,KING WOK,A,0,1,2126758989,0,3,3
1831,MIICHELLE'S COCKTAIL LOUNGE,C,2,4,7182841185,11,15,3
1832,DAI HING GARDEN,C,0,3,7185235142,0,9,3
1833,HARMONY/STARBUCKS CAFE,C,1,2,7189608187,2,4,2
1834,AMERICA GOURMET,C,6,2,2128689790,16,10,5
1835,EMPIRE EXPRESS,P,0,5,7183910588,0,15,3
1836,CHERRY TAVERN,C,2,4,2127771448,5,16,4
1837,MITCHELL'S RESTAURANT,P,1,2,7187893212,4,7,3
1838,CHEZ SARDINE,B,0,4,6463603705,0,13,3
1839,PAPA JOHN'S,A,1,1,7186673202,3,2,2
1840,MOLLY'S CUPCAKES,A,1,4,2124142253,3,16,4
1841,MESKEREM,C,1,1,2127778111,2,1,1
1842,DUB PIES,B,0,3,7189741683,0,7,2
1843,DUNKIN' DONUTS,A,5,1,2126866362,11,3,3
1844,COMFORT INN,B,4,2,7188559600,12,5,2
1845,MINI CAFE,A,1,3,2126620445,1,8,2
1846,THE MERCURY LOUNGE,A,1,2,2122604700,2,7,3
1847,BRITTANYA 54TH,A,0,1,2122475000,0,1,1
1849,N.Y. LIFE EXECUTIVE DINING ROOM .,A,1,1,2125765359,1,2,2
1850,CROWN FRIED CHICKEN,B,1,1,7183417254,3,3,3
1851,INTERCONTINENTAL HOTEL BANQUET KITCHEN,A,1,1,2129063134,1,3,3
1852,VERLAINE,B,3,4,2126142494,7,15,3
1853,GRAND OASIS RESTAURANT,B,4,3,7183274067,16,13,4
1855,HOT SHOTZ SPORTS BAR I,C,1,2,7182270057,2,6,3
1856,"CESAR'S GARDEN RESTAURANT, CORP.",B,0,3,7188521925,0,8,2
1857,BABALU,P,1,6,7188248400,3,27,4
1858,PING'S,P,6,4,2126029988,21,14,3
1859,DUNKIN' DONUTS,A,3,1,7183330615,6,2,2
1860,ROBERTS DELIGHT CARIBBEAN & AMERICAN RESTAURANT,B,0,3,7188684040,0,9,3
1862,NEW STAR CAFE,C,4,4,2127192680,18,15,3
1863,NONNO'S FOCACCERIA,B,3,1,2127532300,7,1,1
1864,TANDOORI FOOD & BAKERY,B,3,5,7188971071,15,17,3
1865,EL CARRIEL BAR,B,5,2,7182057595,16,9,4
1866,POPEYES CHICKEN & BISCUITS,P,1,1,2127953614,2,3,3
1867,MCDONALD'S,C,1,1,7184780323,1,2,2
1868,CALVIN KLEIN COURTSIDE KITCHEN,A,1,1,9176186310,2,2,2
